timestamp,real_step,pH,T_C,NH3_pct,mode,actual_risk,rb_risk,fql_risk,dqn_risk,rb_correct,fql_correct,dqn_correct,fql_steps,epsilon,bandwidth_mbps,latency_ms
2026-05-25 22:16:07,1,7.681,25.0,2.6483,RB,1,1,1,-1,1,1,-1,1,0.2999,0.0,0.0
2026-05-25 22:16:09,2,7.703,25.0,2.7821,RB,1,1,1,-1,1,1,-1,2,0.2997,0.0,0.0
2026-05-25 22:16:11,3,7.664,25.0,2.5492,RB,1,1,1,-1,1,1,-1,3,0.2996,0.0,0.0
2026-05-25 22:16:13,4,7.653,25.0,2.4871,RB,1,1,2,-1,1,0,-1,4,0.2994,0.0,0.0
2026-05-25 22:16:15,5,7.692,25.0,2.7144,RB,1,1,0,-1,1,0,-1,5,0.2993,0.0,0.0
2026-05-25 22:16:17,6,7.681,25.0,2.6483,RB,1,1,0,-1,1,0,-1,6,0.2991,0.0,0.0
2026-05-25 22:16:19,7,7.658,25.0,2.5151,RB,1,1,1,-1,1,1,-1,7,0.299,0.0,0.0
2026-05-25 22:16:21,8,7.692,25.0,2.7144,RB,1,1,0,-1,1,0,-1,8,0.2988,0.0,0.0
2026-05-25 22:16:23,9,7.658,25.0,2.5151,RB,1,1,1,-1,1,1,-1,9,0.2987,0.0,0.0
2026-05-25 22:16:25,10,7.642,25.0,2.4264,RB,1,1,1,-1,1,1,-1,10,0.2985,0.0,0.0
2026-05-25 22:16:27,11,7.686,25.0,2.6781,RB,1,1,1,-1,1,1,-1,11,0.2984,0.0,0.0
2026-05-25 22:16:29,12,7.669,25.0,2.578,RB,1,1,1,-1,1,1,-1,12,0.2982,0.0,0.0
2026-05-25 22:16:31,13,7.636,25.0,2.3939,RB,1,1,1,-1,1,1,-1,13,0.2981,0.0,0.0
2026-05-25 22:16:33,14,7.686,25.0,2.6781,RB,1,1,1,-1,1,1,-1,14,0.2979,0.0,0.0
2026-05-25 22:16:35,15,7.686,25.0,2.6781,RB,1,1,3,-1,1,0,-1,15,0.2978,0.0,0.0
2026-05-25 22:16:37,16,7.642,25.0,2.4264,RB,1,1,3,-1,1,0,-1,16,0.2976,0.0,0.0
2026-05-25 22:16:39,17,7.686,25.0,2.6781,RB,1,1,1,-1,1,1,-1,17,0.2975,0.0,0.0
2026-05-25 22:16:41,18,7.697,25.0,2.745,RB,1,1,0,-1,1,0,-1,18,0.2973,0.0,0.0
2026-05-25 22:16:43,19,7.636,25.0,2.3939,RB,1,1,1,-1,1,1,-1,19,0.2972,0.0,0.0
2026-05-25 22:16:46,20,7.686,25.0,2.6781,RB,1,1,2,-1,1,0,-1,20,0.297,0.0,0.0
2026-05-25 22:16:47,21,7.692,25.0,2.7144,RB,1,1,1,-1,1,1,-1,21,0.2969,0.0,0.0
2026-05-25 22:16:49,22,7.647,25.0,2.4538,RB,1,1,1,-1,1,1,-1,22,0.2967,0.0,0.0
2026-05-25 22:16:51,23,7.675,25.0,2.6129,RB,1,1,1,-1,1,1,-1,23,0.2966,0.0,0.0
2026-05-25 22:16:53,24,7.692,25.0,2.7144,RB,1,1,1,-1,1,1,-1,24,0.2964,0.0,0.0
2026-05-25 22:16:55,25,7.658,25.0,2.5151,RB,1,1,1,-1,1,1,-1,25,0.2963,0.0,0.0
2026-05-25 22:16:57,26,7.681,25.0,2.6483,RB,1,1,1,-1,1,1,-1,26,0.2961,0.0,0.0
2026-05-25 22:16:59,27,7.686,25.0,2.6781,RB,1,1,0,-1,1,0,-1,27,0.296,0.0,0.0
2026-05-25 22:17:01,28,7.647,25.0,2.4538,RB,1,1,1,-1,1,1,-1,28,0.2958,0.0,0.0
