timestamp,real_step,pH,T_C,NH3_pct,mode,actual_risk,rb_risk,fql_risk,dqn_risk,rb_correct,fql_correct,dqn_correct,fql_steps,epsilon,bandwidth_mbps,latency_ms
2026-05-26 21:35:41,1,7.468,0.0,0.2413,RB,0,0,0,-1,1,1,-1,1,0.2999,0.0,0.0
2026-05-26 21:35:43,2,7.474,0.0,0.2446,RB,0,0,1,-1,1,0,-1,2,0.2997,0.0,0.0
2026-05-26 21:35:45,3,7.491,0.0,0.2544,RB,0,0,0,-1,1,1,-1,3,0.2996,0.0,0.0
2026-05-26 21:35:47,4,7.491,0.0,0.2544,RB,0,0,0,-1,1,1,-1,4,0.2994,0.0,0.0
2026-05-26 21:35:49,5,7.519,0.0,0.2713,RB,0,0,3,-1,1,0,-1,5,0.2993,0.0,0.0
2026-05-26 21:35:51,6,7.524,0.0,0.2744,RB,0,0,0,-1,1,1,-1,6,0.2991,0.0,0.0
2026-05-26 21:35:53,7,7.524,0.0,0.2744,RB,0,0,0,-1,1,1,-1,7,0.299,0.0,0.0
