timestamp,real_step,pH,T_C,NH3_pct,mode,actual_risk,rb_risk,fql_risk,dqn_risk,rb_correct,fql_correct,dqn_correct,fql_steps,epsilon,bandwidth_mbps,latency_ms
2026-05-25 21:53:18,1,7.725,25.0,2.9224,RB,1,1,1,-1,1,1,-1,1,0.2999,0.0,0.0
2026-05-25 21:53:20,2,7.669,25.0,2.578,RB,1,1,1,-1,1,1,-1,2,0.2997,0.0,0.0
2026-05-25 21:53:22,3,7.731,25.0,2.9619,RB,1,1,1,-1,1,1,-1,3,0.2996,0.0,0.0
2026-05-25 21:53:24,4,7.725,25.0,2.9224,RB,1,1,1,-1,1,1,-1,4,0.2994,0.0,0.0
2026-05-25 21:53:26,5,7.692,25.0,2.7144,RB,1,1,1,-1,1,1,-1,5,0.2993,0.0,0.0
2026-05-25 21:53:28,6,7.725,25.0,2.9224,RB,1,1,1,-1,1,1,-1,6,0.2991,0.0,0.0
2026-05-25 21:53:30,7,7.658,25.0,2.5151,RB,1,1,3,-1,1,0,-1,7,0.299,0.0,0.0
2026-05-25 21:53:32,8,7.714,25.0,2.8514,RB,1,1,1,-1,1,1,-1,8,0.2988,0.0,0.0
2026-05-25 21:53:34,9,7.714,25.0,2.8514,RB,1,1,2,-1,1,0,-1,9,0.2987,0.0,0.0
2026-05-25 21:53:36,10,7.647,25.0,2.4538,RB,1,1,1,-1,1,1,-1,10,0.2985,0.0,0.0
2026-05-25 21:53:38,11,7.714,25.0,2.8514,RB,1,1,1,-1,1,1,-1,11,0.2984,0.0,0.0
2026-05-25 21:53:40,12,7.709,25.0,2.8197,RB,1,1,1,-1,1,1,-1,12,0.2982,0.0,0.0
2026-05-25 21:53:42,13,7.653,25.0,2.4871,RB,1,1,1,-1,1,1,-1,13,0.2981,0.0,0.0
2026-05-25 21:53:44,14,7.709,25.0,2.8197,RB,1,1,1,-1,1,1,-1,14,0.2979,0.0,0.0
2026-05-25 21:53:46,15,7.697,25.0,2.745,RB,1,1,3,-1,1,0,-1,15,0.2978,0.0,0.0
2026-05-25 21:53:48,16,7.686,25.0,2.6781,RB,1,1,1,-1,1,1,-1,16,0.2976,0.0,0.0
2026-05-25 21:53:50,17,7.709,25.0,2.8197,RB,1,1,1,-1,1,1,-1,17,0.2975,0.0,0.0
2026-05-25 21:53:52,18,7.653,25.0,2.4871,RB,1,1,1,-1,1,1,-1,18,0.2973,0.0,0.0
2026-05-25 21:53:54,19,7.709,25.0,2.8197,RB,1,1,3,-1,1,0,-1,19,0.2972,0.0,0.0
2026-05-25 21:53:56,20,7.709,25.0,2.8197,RB,1,1,1,-1,1,1,-1,20,0.297,0.0,0.0
2026-05-25 21:53:58,21,7.658,25.0,2.5151,RB,1,1,1,-1,1,1,-1,21,0.2969,0.0,0.0
2026-05-25 21:54:01,22,7.714,25.0,2.8514,RB,1,1,1,-1,1,1,-1,22,0.2967,0.0,0.0
2026-05-25 21:54:02,23,7.692,25.0,2.7144,RB,1,1,1,-1,1,1,-1,23,0.2966,0.0,0.0
2026-05-25 21:54:04,24,7.675,25.0,2.6129,RB,1,1,1,-1,1,1,-1,24,0.2964,0.0,0.0
2026-05-25 21:54:06,25,7.714,25.0,2.8514,RB,1,1,1,-1,1,1,-1,25,0.2963,0.0,0.0
2026-05-25 21:54:08,26,7.664,25.0,2.5492,RB,1,1,1,-1,1,1,-1,26,0.2961,0.0,0.0
2026-05-25 21:54:11,27,7.714,25.0,2.8514,RB,1,1,1,-1,1,1,-1,27,0.296,0.0,0.0
2026-05-25 21:54:12,28,7.709,25.0,2.8197,RB,1,1,1,-1,1,1,-1,28,0.2958,0.0,0.0
2026-05-25 21:54:14,29,7.669,25.0,2.578,RB,1,1,1,-1,1,1,-1,29,0.2957,0.0,0.0
2026-05-25 21:54:17,30,7.72,25.0,2.8899,RB,1,1,1,-1,1,1,-1,30,0.2955,0.0,0.0
2026-05-25 21:54:19,31,7.658,25.0,2.5151,RB,1,1,1,-1,1,1,-1,31,0.2954,0.0,0.0
2026-05-25 21:54:20,32,7.714,25.0,2.8514,RB,1,1,1,-1,1,1,-1,32,0.2952,0.0,0.0
2026-05-25 21:54:23,33,7.686,25.0,2.6781,RB,1,1,1,-1,1,1,-1,33,0.2951,0.0,0.0
2026-05-25 21:54:25,34,7.703,25.0,2.7821,RB,1,1,1,-1,1,1,-1,34,0.2949,0.0,0.0
2026-05-25 21:54:26,35,7.725,25.0,2.9224,RB,1,1,1,-1,1,1,-1,35,0.2948,0.0,0.0
2026-05-25 21:54:29,36,7.658,25.0,2.5151,RB,1,1,1,-1,1,1,-1,36,0.2946,0.0,0.0
2026-05-25 21:54:31,37,7.697,25.0,2.745,RB,1,1,3,-1,1,0,-1,37,0.2945,0.0,0.0
2026-05-25 21:54:33,38,7.664,25.0,2.5492,RB,1,1,2,-1,1,0,-1,38,0.2944,0.0,0.0
2026-05-25 21:54:35,39,7.725,25.0,2.9224,RB,1,1,1,-1,1,1,-1,39,0.2942,0.0,0.0
2026-05-25 21:54:37,40,7.681,25.0,2.6483,RB,1,1,1,-1,1,1,-1,40,0.2941,0.0,0.0
2026-05-25 21:54:39,41,7.72,25.0,2.8899,RB,1,1,2,-1,1,0,-1,41,0.2939,0.0,0.0
2026-05-25 21:54:41,42,7.686,25.0,2.6781,RB,1,1,2,-1,1,0,-1,42,0.2938,0.0,0.0
2026-05-25 21:54:43,43,7.72,25.0,2.8899,RB,1,1,1,-1,1,1,-1,43,0.2936,0.0,0.0
2026-05-25 21:54:45,44,7.709,25.0,2.8197,RB,1,1,1,-1,1,1,-1,44,0.2935,0.0,0.0
2026-05-25 21:54:47,45,7.686,25.0,2.6781,RB,1,1,1,-1,1,1,-1,45,0.2933,0.0,0.0
2026-05-25 21:54:49,46,7.72,25.0,2.8899,RB,1,1,2,-1,1,0,-1,46,0.2932,0.0,0.0
2026-05-25 21:54:51,47,7.653,25.0,2.4871,RB,1,1,1,-1,1,1,-1,47,0.293,0.0,0.0
2026-05-25 21:54:53,48,7.72,25.0,2.8899,RB,1,1,1,-1,1,1,-1,48,0.2929,0.0,0.0
2026-05-25 21:54:55,49,7.664,25.0,2.5492,RB,1,1,1,-1,1,1,-1,49,0.2927,0.0,0.0
2026-05-25 21:54:57,50,7.703,25.0,2.7821,RB,1,1,1,-1,1,1,-1,50,0.2926,0.0,0.0
