timestamp,real_step,pH,T_C,NH3_pct,mode,actual_risk,rb_risk,fql_risk,dqn_risk,rb_correct,fql_correct,dqn_correct,fql_steps,epsilon,bandwidth_mbps,latency_ms
2026-05-25 22:17:59,1,7.664,25.0,2.5492,RB,1,1,1,-1,1,1,-1,1,0.2999,0.0,0.0
2026-05-25 22:18:01,2,7.686,25.0,2.6781,RB,1,1,0,-1,1,0,-1,2,0.2997,0.0,0.0
2026-05-25 22:18:03,3,7.692,25.0,2.7144,RB,1,1,1,-1,1,1,-1,3,0.2996,0.0,0.0
2026-05-25 22:18:05,4,7.664,25.0,2.5492,RB,1,1,3,-1,1,0,-1,4,0.2994,0.0,0.0
2026-05-25 22:18:07,5,7.709,25.0,2.8197,RB,1,1,1,-1,1,1,-1,5,0.2993,0.0,0.0
2026-05-25 22:18:10,6,7.653,25.0,2.4871,RB,1,1,3,-1,1,0,-1,6,0.2991,0.0,0.0
2026-05-25 22:18:11,7,7.703,25.0,2.7821,RB,1,1,1,-1,1,1,-1,7,0.299,0.0,0.0
2026-05-25 22:18:13,8,7.709,25.0,2.8197,RB,1,1,1,-1,1,1,-1,8,0.2988,0.0,0.0
2026-05-25 22:18:16,9,7.647,25.0,2.4538,RB,1,1,2,-1,1,0,-1,9,0.2987,0.0,0.0
2026-05-25 22:18:17,10,7.703,25.0,2.7821,RB,1,1,1,-1,1,1,-1,10,0.2985,0.0,0.0
2026-05-25 22:18:19,11,7.681,25.0,2.6483,RB,1,1,3,-1,1,0,-1,11,0.2984,0.0,0.0
2026-05-25 22:18:22,12,7.664,25.0,2.5492,RB,1,1,1,-1,1,1,-1,12,0.2982,0.0,0.0
2026-05-25 22:18:23,13,7.703,25.0,2.7821,RB,1,1,1,-1,1,1,-1,13,0.2981,0.0,0.0
2026-05-25 22:18:25,14,7.664,25.0,2.5492,RB,1,1,1,-1,1,1,-1,14,0.2979,0.0,0.0
2026-05-25 22:18:28,15,7.653,25.0,2.4871,RB,1,1,2,-1,1,0,-1,15,0.2978,0.0,0.0
2026-05-25 22:18:30,16,7.692,25.0,2.7144,RB,1,1,1,-1,1,1,-1,16,0.2976,0.0,0.0
2026-05-25 22:18:31,17,7.664,25.0,2.5492,RB,1,1,3,-1,1,0,-1,17,0.2975,0.0,0.0
2026-05-25 22:18:33,18,7.653,25.0,2.4871,RB,1,1,1,-1,1,1,-1,18,0.2973,0.0,0.0
2026-05-25 22:18:35,19,7.697,25.0,2.745,RB,1,1,1,-1,1,1,-1,19,0.2972,0.0,0.0
2026-05-25 22:18:38,20,7.681,25.0,2.6483,RB,1,1,1,-1,1,1,-1,20,0.297,0.0,0.0
2026-05-25 22:18:40,21,7.653,25.0,2.4871,RB,1,1,1,-1,1,1,-1,21,0.2969,0.0,0.0
2026-05-25 22:18:41,22,7.697,25.0,2.745,RB,1,1,1,-1,1,1,-1,22,0.2967,0.0,0.0
2026-05-25 22:18:44,23,7.675,25.0,2.6129,RB,1,1,3,-1,1,0,-1,23,0.2966,0.0,0.0
2026-05-25 22:18:46,24,7.642,25.0,2.4264,RB,1,1,0,-1,1,0,-1,24,0.2964,0.0,0.0
2026-05-25 22:18:48,25,7.697,25.0,2.745,RB,1,1,1,-1,1,1,-1,25,0.2963,0.0,0.0
2026-05-25 22:18:50,26,7.686,25.0,2.6781,RB,1,1,2,-1,1,0,-1,26,0.2961,0.0,0.0
2026-05-25 22:18:52,27,7.636,25.0,2.3939,RB,1,1,0,-1,1,0,-1,27,0.296,0.0,0.0
2026-05-25 22:18:54,28,7.686,25.0,2.6781,RB,1,1,0,-1,1,0,-1,28,0.2958,0.0,0.0
2026-05-25 22:18:56,29,7.686,25.0,2.6781,RB,1,1,1,-1,1,1,-1,29,0.2957,0.0,0.0
2026-05-25 22:18:58,30,7.642,25.0,2.4264,RB,1,1,1,-1,1,1,-1,30,0.2955,0.0,0.0
2026-05-25 22:19:00,31,7.664,25.0,2.5492,RB,1,1,1,-1,1,1,-1,31,0.2954,0.0,0.0
2026-05-25 22:19:02,32,7.709,25.0,2.8197,RB,1,1,1,-1,1,1,-1,32,0.2952,0.0,0.0
2026-05-25 22:19:04,33,7.692,25.0,2.7144,RB,1,1,1,-1,1,1,-1,33,0.2951,0.0,0.0
2026-05-25 22:19:06,34,7.625,25.0,2.3354,RB,1,1,1,-1,1,1,-1,34,0.2949,0.0,0.0
