timestamp,real_step,pH,T_C,NH3_pct,mode,actual_risk,rb_risk,fql_risk,dqn_risk,rb_correct,fql_correct,dqn_correct,fql_steps,epsilon
2026-05-25 11:47:33,1,7.647,0.0,0.3639,RB,0,0,0,-1,1,1,-1,1,0.2999
2026-05-25 11:47:35,2,7.63,0.0,0.35,RB,0,0,0,-1,1,1,-1,2,0.2997
2026-05-25 11:47:37,3,7.653,0.0,0.369,RB,0,0,0,-1,1,1,-1,3,0.2996
2026-05-25 11:47:39,4,7.692,0.0,0.4035,RB,0,0,0,-1,1,1,-1,4,0.2994
2026-05-25 11:47:41,5,7.692,0.0,0.4035,RB,0,0,0,-1,1,1,-1,5,0.2993
2026-05-25 11:47:43,6,7.681,0.0,0.3935,RB,0,0,0,-1,1,1,-1,6,0.2991
2026-05-25 11:47:45,7,7.636,0.0,0.3549,RB,0,0,3,-1,1,0,-1,7,0.299
2026-05-25 11:47:47,8,7.619,0.0,0.3413,RB,0,0,0,-1,1,1,-1,8,0.2988
2026-05-25 11:47:49,9,7.647,0.0,0.3639,RB,0,0,2,-1,1,0,-1,9,0.2987
2026-05-25 11:47:51,10,7.686,0.0,0.398,RB,0,0,0,-1,1,1,-1,10,0.2985
2026-05-25 11:47:53,11,7.692,0.0,0.4035,RB,0,0,2,-1,1,0,-1,11,0.2984
2026-05-25 11:47:55,12,7.697,0.0,0.4082,RB,0,0,3,-1,1,0,-1,12,0.2982
2026-05-25 11:47:57,13,7.686,0.0,0.398,RB,0,0,3,-1,1,0,-1,13,0.2981
2026-05-25 11:47:59,14,7.636,0.0,0.3549,RB,0,0,0,-1,1,1,-1,14,0.2979
2026-05-25 11:48:01,15,7.647,0.0,0.3639,RB,0,0,0,-1,1,1,-1,15,0.2978
2026-05-25 11:48:03,16,7.709,0.0,0.4195,RB,0,0,0,-1,1,1,-1,16,0.2976
2026-05-25 11:48:05,17,7.692,0.0,0.4035,RB,0,0,0,-1,1,1,-1,17,0.2975
2026-05-25 11:48:07,18,7.686,0.0,0.398,RB,0,0,0,-1,1,1,-1,18,0.2973
2026-05-25 11:48:09,19,7.653,0.0,0.369,RB,0,0,0,-1,1,1,-1,19,0.2972
