[2026-05-29 01:32:27][INFO] QoS CSV: /home/ubuntu/thesis/results/network/Pico_1_Main/qos_log_20260529_013212.csv
[2026-05-29 01:32:45][INFO] [Pico_1_Main][RB][Step:   10] pH:7.558 T:25.0°C NH3:2.01% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:33:05][INFO] [Pico_1_Main][RB][Step:   20] pH:7.558 T:25.0°C NH3:2.01% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:33:25][INFO] [Pico_1_Main][RB][Step:   30] pH:7.563 T:25.0°C NH3:2.03% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:33:45][INFO] [Pico_1_Main][RB][Step:   40] pH:7.496 T:25.0°C NH3:1.75% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:34:05][INFO] [Pico_1_Main][RB][Step:   50] pH:7.502 T:25.0°C NH3:1.77% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:34:25][INFO] [Pico_1_Main][RB][Step:   60] pH:7.519 T:25.0°C NH3:1.84% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:34:45][INFO] [Pico_1_Main][RB][Step:   70] pH:7.524 T:25.0°C NH3:1.86% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:35:05][INFO] [Pico_1_Main][RB][Step:   80] pH:7.496 T:25.0°C NH3:1.75% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:35:25][INFO] [Pico_1_Main][RB][Step:   90] pH:7.547 T:25.0°C NH3:1.96% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:35:45][INFO] [Pico_1_Main][RB][Step:  100] pH:7.513 T:25.0°C NH3:1.81% | Risk:CAUTION | Acc:76.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:36:05][INFO] [Pico_1_Main][RB][Step:  110] pH:7.502 T:25.0°C NH3:1.77% | Risk:CAUTION | Acc:76.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:36:25][INFO] [Pico_1_Main][RB][Step:  120] pH:7.558 T:25.0°C NH3:2.01% | Risk:CAUTION | Acc:76.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:36:45][INFO] [Pico_1_Main][RB][Step:  130] pH:7.502 T:25.0°C NH3:1.77% | Risk:CAUTION | Acc:76.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:37:05][INFO] [Pico_1_Main][RB][Step:  140] pH:7.558 T:25.0°C NH3:2.01% | Risk:CAUTION | Acc:76.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:37:25][INFO] [Pico_1_Main][RB][Step:  150] pH:7.519 T:25.0°C NH3:1.84% | Risk:CAUTION | Acc:76.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:37:46][INFO] [Pico_1_Main][RB][Step:  160] pH:7.513 T:25.0°C NH3:1.81% | Risk:CAUTION | Acc:76.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:38:06][INFO] [Pico_1_Main][RB][Step:  170] pH:7.569 T:25.0°C NH3:2.06% | Risk:CAUTION | Acc:76.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:38:26][INFO] [Pico_1_Main][RB][Step:  180] pH:7.558 T:25.0°C NH3:2.01% | Risk:CAUTION | Acc:76.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:38:46][INFO] [Pico_1_Main][RB][Step:  190] pH:7.502 T:25.0°C NH3:1.77% | Risk:CAUTION | Acc:76.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:39:07][INFO] [Pico_1_Main][RB][Step:  200] pH:7.547 T:25.0°C NH3:1.96% | Risk:CAUTION | Acc:77.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:39:26][INFO] [Pico_1_Main][RB][Step:  210] pH:7.519 T:25.0°C NH3:1.84% | Risk:CAUTION | Acc:77.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:39:33][INFO] System stopped.
