timestamp,real_step,pH,T_C,NH3_pct,mode,actual_risk,rb_risk,fql_risk,dqn_risk,rb_correct,fql_correct,dqn_correct,fql_steps,epsilon,bandwidth_mbps,latency_ms,jitter_ms
2026-05-29 01:40:30,1,7.547,25.0,1.959,RB,1,1,1,-1,1,1,-1,1,0.2999,2e-06,0.57,0.266
2026-05-29 01:40:32,2,7.563,25.0,2.031,RB,1,1,1,-1,1,1,-1,2,0.2997,6e-06,5.55,0.458
2026-05-29 01:40:34,3,7.507,25.0,1.7897,RB,1,1,1,-1,1,1,-1,3,0.2996,6e-05,12.58,0.0
2026-05-29 01:40:36,4,7.569,25.0,2.0587,RB,1,1,1,-1,1,1,-1,4,0.2994,7.1e-05,12.09,0.0
2026-05-29 01:40:38,5,7.496,25.0,1.7457,RB,1,1,3,-1,1,0,-1,5,0.2993,7.1e-05,12.72,2.366
2026-05-29 01:40:40,6,7.563,25.0,2.031,RB,1,1,0,-1,1,0,-1,6,0.2991,6.7e-05,13.99,4.68
2026-05-29 01:40:42,7,7.513,25.0,1.8141,RB,1,1,1,-1,1,1,-1,7,0.299,8e-05,12.68,6.249
2026-05-29 01:40:44,8,7.558,25.0,2.0082,RB,1,1,1,-1,1,1,-1,8,0.2988,9.9e-05,11.71,6.897
2026-05-29 01:40:46,9,7.547,25.0,1.959,RB,1,1,1,-1,1,1,-1,9,0.2987,0.00011,13.99,7.373
2026-05-29 01:40:48,10,7.53,25.0,1.8852,RB,1,1,1,-1,1,1,-1,10,0.2985,0.000104,15.34,7.759
2026-05-29 01:40:50,11,7.563,25.0,2.031,RB,1,1,1,-1,1,1,-1,11,0.2984,0.000118,11.69,7.912
2026-05-29 01:40:52,12,7.502,25.0,1.7696,RB,1,1,1,-1,1,1,-1,12,0.2982,9.1e-05,10.17,8.291
2026-05-29 01:40:54,13,7.558,25.0,2.0082,RB,1,1,1,-1,1,1,-1,13,0.2981,9.5e-05,8.04,7.935
2026-05-29 01:40:56,14,7.502,25.0,1.7696,RB,1,1,1,-1,1,1,-1,14,0.2979,8.7e-05,5.89,7.702
2026-05-29 01:40:58,15,7.558,25.0,2.0082,RB,1,1,2,-1,1,0,-1,15,0.2978,7.7e-05,8.68,7.98
2026-05-29 01:41:00,16,7.53,25.0,1.8852,RB,1,1,1,-1,1,1,-1,16,0.2976,7.1e-05,8.35,7.365
