timestamp,latency_ms,jitter_ms,bandwidth_mbps
2026-05-29 01:32:27,0.0,0.0,0.0
2026-05-29 01:32:30,4.28,0.0,0.0
2026-05-29 01:32:33,4.28,0.0,0.0001
2026-05-29 01:32:37,4.28,0.566,0.0001
2026-05-29 01:32:40,4.28,1.557,0.0001
2026-05-29 01:32:43,4.28,1.773,0.0001
2026-05-29 01:32:46,4.28,2.006,0.0001
2026-05-29 01:32:49,4.28,2.176,0.0001
2026-05-29 01:32:52,4.28,2.782,0.0001
2026-05-29 01:32:55,4.28,3.453,0.0001
2026-05-29 01:32:58,4.28,4.505,0.0001
2026-05-29 01:33:01,4.28,5.039,0.0001
2026-05-29 01:33:04,4.28,5.15,0.0001
2026-05-29 01:33:07,4.28,5.739,0.0001
2026-05-29 01:33:10,4.28,5.956,0.0001
2026-05-29 01:33:13,4.28,6.129,0.0001
2026-05-29 01:33:16,4.28,6.133,0.0001
2026-05-29 01:33:19,4.28,6.063,0.0001
2026-05-29 01:33:22,4.28,5.999,0.0001
2026-05-29 01:33:25,4.28,5.843,0.0001
2026-05-29 01:33:28,4.28,5.756,0.0001
2026-05-29 01:33:31,4.28,5.639,0.0001
2026-05-29 01:33:34,4.28,5.576,0.0001
2026-05-29 01:33:37,4.28,5.444,0.0001
2026-05-29 01:33:40,4.28,5.451,0.0001
2026-05-29 01:33:43,4.28,5.514,0.0001
2026-05-29 01:33:46,4.28,5.507,0.0001
2026-05-29 01:33:49,4.28,5.451,0.0001
2026-05-29 01:33:52,4.28,5.409,0.0001
2026-05-29 01:33:55,4.28,5.32,0.0001
2026-05-29 01:33:58,4.28,5.27,0.0001
2026-05-29 01:34:01,4.28,5.166,0.0001
2026-05-29 01:34:04,4.28,5.121,0.0001
2026-05-29 01:34:07,4.28,5.038,0.0001
2026-05-29 01:34:11,4.28,4.994,0.0001
2026-05-29 01:34:14,4.28,4.989,0.0001
2026-05-29 01:34:17,4.28,5.087,0.0001
2026-05-29 01:34:20,4.28,5.319,0.0001
2026-05-29 01:34:23,4.28,5.399,0.0001
2026-05-29 01:34:26,4.28,5.471,0.0001
2026-05-29 01:34:29,4.28,5.478,0.0001
2026-05-29 01:34:32,4.28,5.471,0.0001
2026-05-29 01:34:35,4.28,5.453,0.0001
2026-05-29 01:34:38,4.28,5.433,0.0001
2026-05-29 01:34:41,4.28,5.587,0.0001
2026-05-29 01:34:44,4.28,6.186,0.0001
2026-05-29 01:34:47,4.28,6.36,0.0001
2026-05-29 01:34:50,4.28,6.642,0.0001
2026-05-29 01:34:53,4.28,6.727,0.0001
2026-05-29 01:34:56,4.28,6.808,0.0001
2026-05-29 01:34:59,4.28,6.817,0.0001
2026-05-29 01:35:02,4.28,6.813,0.0001
2026-05-29 01:35:05,4.28,6.803,0.0001
2026-05-29 01:35:08,4.28,6.787,0.0001
2026-05-29 01:35:11,4.28,6.763,0.0001
2026-05-29 01:35:14,4.28,6.745,0.0001
2026-05-29 01:35:17,4.28,6.693,0.0001
2026-05-29 01:35:20,4.28,6.663,0.0001
2026-05-29 01:35:23,4.28,6.682,0.0001
2026-05-29 01:35:26,4.28,6.687,0.0001
2026-05-29 01:35:29,4.28,6.667,0.0001
2026-05-29 01:35:32,4.28,6.647,0.0001
2026-05-29 01:35:35,4.28,6.598,0.0001
2026-05-29 01:35:38,4.28,6.572,0.0001
2026-05-29 01:35:42,4.28,6.514,0.0001
2026-05-29 01:35:45,4.28,6.484,0.0001
2026-05-29 01:35:48,4.28,6.471,0.0001
2026-05-29 01:35:51,4.28,6.463,0.0001
2026-05-29 01:35:54,4.28,6.582,0.0001
2026-05-29 01:35:57,4.28,6.766,0.0001
2026-05-29 01:36:00,4.28,7.023,0.0001
2026-05-29 01:36:03,4.28,7.106,0.0001
2026-05-29 01:36:06,4.28,7.237,0.0001
2026-05-29 01:36:09,4.28,7.31,0.0001
2026-05-29 01:36:12,4.28,7.38,0.0001
2026-05-29 01:36:15,4.28,7.371,0.0001
2026-05-29 01:36:18,4.28,7.329,0.0001
2026-05-29 01:36:21,4.28,7.31,0.0001
2026-05-29 01:36:24,4.28,7.285,0.0001
2026-05-29 01:36:27,4.28,7.246,0.0001
2026-05-29 01:36:30,4.28,7.168,0.0001
2026-05-29 01:36:33,4.28,7.157,0.0001
2026-05-29 01:36:36,4.28,7.143,0.0001
2026-05-29 01:36:39,4.28,7.138,0.0001
2026-05-29 01:36:42,4.28,7.166,0.0001
2026-05-29 01:36:45,4.28,7.18,0.0001
2026-05-29 01:36:48,4.28,7.199,0.0001
2026-05-29 01:36:51,4.28,7.199,0.0001
2026-05-29 01:36:54,4.28,7.198,0.0001
2026-05-29 01:36:57,4.28,7.197,0.0001
2026-05-29 01:37:00,4.28,7.182,0.0001
2026-05-29 01:37:03,4.28,7.155,0.0001
2026-05-29 01:37:06,4.28,7.121,0.0001
2026-05-29 01:37:09,4.28,7.123,0.0001
2026-05-29 01:37:12,4.28,7.156,0.0001
2026-05-29 01:37:15,4.28,7.169,0.0001
2026-05-29 01:37:18,4.28,7.198,0.0001
2026-05-29 01:37:22,4.28,7.215,0.0001
2026-05-29 01:37:25,4.28,7.218,0.0001
2026-05-29 01:37:28,4.28,7.218,0.0001
2026-05-29 01:37:31,4.28,7.218,0.0001
2026-05-29 01:37:34,4.28,7.185,0.0001
2026-05-29 01:37:37,4.28,7.132,0.0001
2026-05-29 01:37:40,4.28,7.002,0.0001
2026-05-29 01:37:43,4.28,6.95,0.0001
2026-05-29 01:37:46,4.28,6.881,0.0001
2026-05-29 01:37:49,4.28,6.86,0.0001
2026-05-29 01:37:52,4.28,6.836,0.0001
2026-05-29 01:37:55,4.28,6.828,0.0001
2026-05-29 01:37:58,4.28,6.822,0.0001
2026-05-29 01:38:01,4.28,6.726,0.0001
2026-05-29 01:38:04,4.28,6.308,0.0001
2026-05-29 01:38:07,4.28,6.173,0.0001
2026-05-29 01:38:10,4.28,5.922,0.0001
2026-05-29 01:38:13,4.28,5.831,0.0001
2026-05-29 01:38:16,4.28,5.71,0.0001
2026-05-29 01:38:19,4.28,5.671,0.0001
2026-05-29 01:38:22,4.28,5.604,0.0001
2026-05-29 01:38:25,4.28,5.577,0.0001
2026-05-29 01:38:28,4.28,5.516,0.0001
2026-05-29 01:38:31,4.28,5.486,0.0001
2026-05-29 01:38:34,4.28,5.462,0.0001
2026-05-29 01:38:37,4.28,5.467,0.0001
2026-05-29 01:38:40,4.28,5.478,0.0001
2026-05-29 01:38:43,4.28,5.454,0.0001
2026-05-29 01:38:46,4.28,5.371,0.0001
2026-05-29 01:38:49,4.28,5.344,0.0001
2026-05-29 01:38:52,4.28,5.308,0.0001
2026-05-29 01:38:56,4.28,5.297,0.0001
2026-05-29 01:38:59,4.28,5.279,0.0001
2026-05-29 01:39:02,4.28,5.273,0.0001
2026-05-29 01:39:05,4.28,5.265,0.0001
2026-05-29 01:39:08,4.28,34.3,0.0001
2026-05-29 01:39:11,4.28,92.706,0.0001
2026-05-29 01:39:14,4.28,111.495,0.0001
2026-05-29 01:39:17,4.28,136.142,0.0001
2026-05-29 01:39:20,4.28,144.062,0.0001
2026-05-29 01:39:23,4.28,154.458,0.0001
2026-05-29 01:39:26,4.28,157.799,0.0001
2026-05-29 01:39:29,4.28,162.183,0.0001
2026-05-29 01:39:32,4.28,164.648,0.0001
