timestamp,latency_ms,jitter_ms,bandwidth_mbps
2026-05-29 01:40:31,0.0,0.473,0.0
2026-05-29 01:40:34,9.15,0.449,2.2e-05
2026-05-29 01:40:37,13.31,0.167,6.1e-05
2026-05-29 01:40:40,13.57,2.456,6.2e-05
2026-05-29 01:40:43,10.75,5.917,9.7e-05
2026-05-29 01:40:46,14.22,6.932,0.000111
2026-05-29 01:40:49,12.37,7.831,0.000123
2026-05-29 01:40:52,8.17,8.357,0.000105
2026-05-29 01:40:55,7.91,7.827,9.1e-05
2026-05-29 01:40:58,7.95,8.112,7.4e-05
2026-05-29 01:41:01,8.81,7.236,8.5e-05
2026-05-29 01:41:04,11.0,7.099,8.6e-05
2026-05-29 01:41:07,12.14,6.764,0.000119
2026-05-29 01:41:10,11.91,6.791,0.000112
2026-05-29 01:41:14,9.84,5.87,9.9e-05
2026-05-29 01:41:17,11.1,5.515,0.000109
2026-05-29 01:41:20,10.97,5.875,8.6e-05
2026-05-29 01:41:23,10.84,6.312,9.8e-05
2026-05-29 01:41:26,10.4,6.212,0.0001
2026-05-29 01:41:29,9.55,5.636,0.000107
2026-05-29 01:41:32,9.49,5.651,7.8e-05
2026-05-29 01:41:35,10.09,5.826,8.9e-05
2026-05-29 01:41:38,12.78,4.979,0.000112
2026-05-29 01:41:41,11.86,4.961,0.000122
2026-05-29 01:41:44,10.37,5.309,0.000102
2026-05-29 01:41:47,11.51,5.539,8.9e-05
2026-05-29 01:41:50,11.21,5.165,9.4e-05
2026-05-29 01:41:53,9.88,4.632,0.000106
