[2026-05-26 22:38:18] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:38:28] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:38:28] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:38:38] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:38:38] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:38:48] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:38:48] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:38:58] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:38:58] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:39:08] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:39:08] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:39:18] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:39:18] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:39:28] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:39:28] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:39:38] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:39:38] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:39:48] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:39:48] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:39:58] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:39:58] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:40:08] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:40:08] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:40:18] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:40:18] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:40:28] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:40:28] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:40:38] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:40:38] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:40:48] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:40:48] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:40:58] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:40:58] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:41:08] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:41:08] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:41:18] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:41:18] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:41:28] [INFO] ✅ Tunnel ESTABLISHED
